Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Date,Pages,Issue,Volume,Publisher,Place
2018,"Pereira, L F M; Zanetti, S; Silva, M A",Water relations of cassava cultivated under water-deficit levels,Acta Physiologiae Plantarum,10.1007/s11738-017-2590-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038128899&doi=10.1007%2Fs11738-017-2590-7&partnerID=40&md5=c086e87298eec692ca9ae2e02b52f68d,"The tolerance of plants to water deficit involves a series of adaptive mechanisms; however, little is known about the physiological characteristics of cassava (Manihot esculenta Crantz), which is one of the most tolerant crops to adverse environmental conditions. The objective of this work was to evaluate the water relations in cassava plants subjected to different levels of water deficit. The treatments were conducted in three evaluation periods (0, 45 and 90 days after water deficit) and at three soil water tensions (− 10, − 40 and − 70 kPa), with five replicates. The plants were mainly affected at 45 days after the water deficit, with an increase of 42.9% in total chlorophyll content and 35.3% in carotenoid content in plants under a tension of − 70 kPa; however, these plants reduced by 30.8% chlorophyll a content at 90 days of the treatments. The water potential, relative water content and electrolyte leakage in the leaf were not altered by the soil water tension. There was an increase of 35.4% in stomatal density independent of soil water status at 90 days and of 16.0% under tensions of − 40 and − 70 kPa; however, the effective quantum efficiency of photosystem II and rate of electron transport were reduced. Cassava can maintain a leaf water potential close to − 0.3 MPa in the predawn and the integrity of the cell membranes in leaves under a soil water tension of up to − 70 kPa. © 2017, Franciszek Górski Institute of Plant Physiology, Polish Academy of Sciences, Kraków.",2018,,1,40,,
1981,"IKE, I F; THURTELL, G W","WATER RELATIONS OF CASSAVA - WATER-CONTENT, WATER, OSMOTIC AND TURGOR POTENTIAL RELATIONSHIPS",Canadian Journal of Botany-Revue Canadienne De Botanique,10.1139/b81-131,,,1981,956-964,6,59,,
2001,"Tonmanee, N; Wada, H",Water quality of a reservoir as affected by agriculture in the east of Thailand: A preliminary study,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034765904&partnerID=40&md5=6843c8efcdf2a093dfbd3aeb03ddf18b,"A preliminary study on the water quality of a reservoir, affected by agriculture, in the east of Thailand was conducted during 1996-1997. Monitoring water quality of a reservoir is important because the sloping lands surrounding the reservoirs are mainly utilized for cultivating cash crops (pineapple, cassava, etc). A lot of fertilizers and agrochemicals were applied to soil and crops which can polluted the water. The results from the preliminary studied will be applied for the monitoring of the water quality in other reservoirs in the 16 pilot areas.",2001,,,44,,"Division of Soil Analysis, Department of Land Development, Bangkok 10900, Thailand"
2016,"Awotwi, A; Bediako, M A; Harris, E; Forkuo, E K",Water Quality Changes Associated with Cassava Production: Case Study of White Volta Bain,Heliyon,10.1016/j.heliyon.2016.e00149,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989241178&doi=10.1016%2Fj.heliyon.2016.e00149&partnerID=40&md5=71ca74ef4d2c1d1f3e9a2dcc3deb25ec,"The outcome reveal that as the land use in the catchment areas change from mixed agricultural to cassava cultivation, the simulated loads and concentrations of nitrogen species from cassava land-use scenario recorded reduction. The resultant concentrations of nitrate and nitrite for both current and future land-use scenarios are all below the daily limit suggested by the WHO, (World Health Organization). For the phosphate concentration, an increase of 4.21% was depicted under cassava land-use scenario. The results show that SWAT is a reliable water quality model, capable of simulating accurate information for developing environmental management plans. © 2016 The Authors",2016,,8,2,,
2011,"Nyakudya, I W; Stroosnijder, L","Water management options based on rainfall analysis for rainfed maize (Zea mays L.) production in Rushinga district, Zimbabwe",Agricultural Water Management,10.1016/j.agwat.2011.06.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960561489&doi=10.1016%2Fj.agwat.2011.06.002&partnerID=40&md5=8a7602f1e2b86d374e2f7efc1d64e749,"Maize (Zea mays L.), the dominant and staple food crop in Southern and Eastern Africa, is preferred to the drought-tolerant sorghum and pearl millet even in semi-arid areas. In semi-arid areas production of maize is constrained by droughts and poor rainfall distribution. The best way to grow crops in these areas is through irrigation, but limited areal extent, increasing water scarcity, and prohibitive development costs limit the feasibility of irrigation. Therefore, there is need for a policy shift towards other viable options. This paper presents daily rainfall analysis from Rushinga district, a semi-arid location in Northern Zimbabwe. The purpose of the rainfall analysis was to assess opportunities and limitations for rainfed maize production using 25 years of data. Data was analysed using a variety of statistical methods that include trend analysis, t-test for independent samples, rank-based frequency analysis, Spearman's correlation coefficient and Mann-Whitney's U test. The results showed no evidence of change in rainfall pattern. The mean seasonal rainfall was 631. mm with a standard deviation (SD) of 175. mm. December, January and February consistently remained the major rainfall months. The results depicted high inter-annual variability for both annual and seasonal rainfall totals, a high incidence of droughts ≥3 out of every 10 years and ≥1 wet year in 10 years. Using the planting criteria recommended in Zimbabwe, most of the plantings would occur from the third decade of November with the mode being the first decade of December. This predisposes the rainfall to high evaporation and runoff losses especially in December when the crop is still in its initial stage of growth. On average 5 to more than 20 days dry spells occupy 56% of the rainy season. Seasonal rainfall exhibited negative correlation (P< 0.001; R=-0.746) with cumulative dry spell length, and wet years were free from dry spells exceeding 20 days. The most common dry spells (6-10 days), are in the range in which irrigated crops survive on available soil water. Therefore, they can be mitigated by in situ rainwater harvesting (RWH) and water conservation. The potential evapotranspiration of a 140-day maize crop was estimated to be 540. mm. Consequently, short season maize cultivars that mature in less than 140 days could be grown successfully in this area in all but drought years. However, sustainable maize production can only be achieved with careful management of the soil as a medium for storing water, which is essential for buffering against dry spells. To this end soil restorative farming systems are recommended such as conservation farming, in situ RWH techniques for dry spell mitigation and a cropping system that includes drought-tolerant cereal crops as for example sorghum and pearl millet, and perennial carbohydrate sources as for example cassava to provide stable crop yields. © 2011 Elsevier B.V.",2011,1649-1659,10,98,,
2010,"Lopes, A C; Viana, A E S; Matsomoto, S N; Cardoso Júnior, N S; São José, A R","Water management and harvest time on cassava cv coqueiro in Planalto de Conquista, BA",Ciencia e Agrotecnologia,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953500286&partnerID=40&md5=133cfc5d754375024c3f8b3568d6619d,"In order to assess the effect of irrigation and harvest time on productivity and other agronomical characteristics of cassava (Manihot esculenta Crantz) known as Coqueiro, one experiment was developed under conditions of dry land and irrigation. A randomized block design was applied, with four replicates and treatments composed by different harvest seasons (8, 10, 12, 14, 16 and 18 months after planting). Plants submitted to irrigation had a 39% increase in leaf area and 14% in height, in comparison to those on dry land. Irrigation did not affect root productivity, but increase linearly according to harvest time. 18 months after being sowed, a root productivity of 40,590.60 kg ha-1 was obtained, an increment of 100% in comparison to harvest realized in an 8-month period. The starch content of roots, cultivated without irrigation, had a tendency to decrease in relation to harvest time. With irrigation, this tendency was reverted, with an increase of values.",2010,579-587,3,34,,
2012,"Filho, J B L; Dos Santos, B R C; Manera, Daniel Bonfim; Nogueira, Daniel Maia; Voltolini, Tadeu Vinhas; Loiola Filho, Joao Bosco; Cunha dos Santos, Betina Raquel; Manera, Daniel Bonfim; Nogueira, Daniel Maia; Voltolini, Tadeu Vinhas",WATER INTAKE AND PRODUCTIVE PERFORMANCE OF KIDS GOATS RECEIVING RATIONS CONTAINING DIFFERENT WHOLE COTTONSEED LEVELS SUBSTITUTING WILD CASSAVA SILAGE,Revista Caatinga,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867702295&partnerID=40&md5=ca6e26c7c3b7ec3abd55362397366e42,"The goal of this present paper was to evaluate the productive performance of feedlot goats fed with wild cassava silage based rations and growing levels of whole cottonseed. Whole cottonseed levels evaluated were: 10.0%; 20.0%; 30.0% and 40.0% of dry matter. Twenty four male goats, non castrated, non defined genotype, weighting 9.4 +/- 2.0 kg of body weight were used. Experimental design was a completely randomized with four whole cottonseed levels and six replicates. Increasing whole cottonseed levels was observed higher average daily gain and total weight gain of goats. On the other hand, final body weight and total water intaked were not affected by whole cottonseed levels in rations. Besides, water intake from ration corresponded for the most part of total water intaked daily by animals. Increasing whole cottonseed level until 40% of dry matter for feedlot kids goats may promote higher average daily gain and total weight gain, without affect water intake.",2012,102-109,3,25,,
2011,"Oroka, F O","Water hyacinth-based vermicompost on yield, yield components, and yield advantage of cassava+groundnut intercropping system",Journal of Tropical Agriculture,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868021583&partnerID=40&md5=f1227530c173a62d72f1c87f107cdbc7,"A field trial was conducted to assess the potential of water haycinth [Eichhornia crassipes (Mart) Solms-Laubach] + animal manure (cow dung/poultry manure) compost for improving the productivity of cassava (Manihot esculenta Crantz) + groundnut (Arachis hypogaea L.) intercropping system. The treatments consisted of four nutrient sources (control, 200 kg NPKMg of 12:12:17:2 mixture ha-1, 40 Mg ha-1 of water hyacinth+poultry manure vermicompost, and 40 Mg ha-1 water hyacinth+cow dung vermicompost), three cropping densities (50 000, 100 000, and 200 000 plants ha-1), and three cropping patterns (sole cassava, sole groundnut, and cassava+groundnut intercropping) in factorial randomized complete block design with three replicates. Sole groundnut yield decreased significantly (p<0.05) when intercropped with cassava. However, water hyacinth-based vermicompost increased cassava fresh tuber yield over mineral fertilizer. Average land equivalent ratio (LER) and area time equivalent ratio (ATER) indicated 39% to 81% land utilization efficiency. Aggressivity index showed that cassava is the dominant crop in the cassava-groundnut intercropping system.",2011,49-52,,50,,
2012,"Gerbens-Leenes, P W; Hoekstra, A Y; Van der Meer, T H",Water for bioenergy: A global analysis,Socioeconomic and Environmental Impacts of Biofuels: Evidence from Developing Nations,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924197180&doi=10.1017%2FCBO9780511920899.007&partnerID=40&md5=dd93cd921650ff102e31869b16d7154c,"Agriculture is by far the largest water user. This chapter reviews studies on the water footprints (WFs) of bioenergy (in the form of bioethanol, biodiesel, and heat and electricity produced from biomass) and compares their results with the WFs of fossil energy and other types of renewables (wind power, solar thermal energy, and hydropower). WFs for bioenergy vary, depending on crop type applied, production location, and agricultural practice. The most water-efficient way to generate bioenergy is to use biomass for heat generation, with electricity generation being the second best option. Biofuel production requires roughly twice as much water as bioelectricity. Regarding biofuels, bioethanol has smaller WFs than biodiesel. For example, the WF of rapeseed biodiesel is four times larger than the WF of sugarcane ethanol and seven times larger than the WF of sugar beet ethanol. Global weighted ethanol WFs increase in the order of sugar beet, potato, sugarcane, maize, cassava, barley, rye, paddy rice, wheat, and sorghum and range between 60 and 400 m3/GJ. For sugar beet, maize, and sugarcane, differences between regions are large. The European Union, northern Africa, and the United States have relatively small WFs for ethanol from sugar beet and maize, while eastern Europe has large WFs. Global weighted average biodiesel WFs increase in the following order: palm oil (95 m3/GJ), soybean and rapeseed (400 m3/GJ), and jatropha (570 m3/GJ). Conversely, the WFs of fossil fuels are relatively small. Finally, the WF of hydropower varies widely between 0.5 and 850 m3/GJ. Our results provide new insight into the impacts of bioenergy on the use and pollution of freshwater. This knowledge is a valuable contribution to future research and for policies concerning energy needs, freshwater availability, and the choice whether to allocate water to food or energy production. © Cambridge University Press 2012.",2012,69-89,,,,"University of Twente, Netherlands"
2013,"Mangmeechai, A; Pavasant, P",Water Footprints of Cassava- and Molasses-Based Ethanol Production in Thailand,Natural Resources Research,10.1007/s11053-013-9214-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886598849&doi=10.1007%2Fs11053-013-9214-8&partnerID=40&md5=ecd2d08143419b1e8fc4cec64c87cba8,"The Thai government has been promoting renewable energy as well as stimulating the consumption of its products. Replacing transport fuels with bioethanol will require substantial amounts of water and enhance water competition locally. This study shows that the water footprint (WF) of molasses-based ethanol is less than that of cassava-based ethanol. The WF of molasses-based ethanol is estimated to be in the range of 1,510-1,990 L water/L ethanol, while that of cassava-based ethanol is estimated at 2,300-2,820 L water/L ethanol. Approximately 99% of the water in each of these WFs is used to cultivate crops. Ethanol production requires not only substantial amounts of water but also government interventions because it is not cost competitive. In Thailand, the government has exploited several strategies to lower ethanol prices such as oil tax exemptions for consumers, cost compensation for ethanol producers, and crop price assurances for farmers. For the renewable energy policy to succeed in the long run, the government may want to consider promoting molasses-based ethanol production as well as irrigation system improvements and sugarcane yield-enhancing practices, since molasses-based ethanol is more favorable than cassava-based ethanol in terms of its water consumption, chemical fertilizer use, and production costs. © 2013 International Association for Mathematical Geosciences.",2013,273-282,4,22,,
2014,"Gheewala, S H; Silalertruksa, T; Nilsalab, P; Mungkung, R; Perret, S R; Chaiyawannakarn, N","Water footprint and impact of water consumption for food, feed, fuel crops production in Thailand",Water (Switzerland),10.3390/w6061698,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902662869&doi=10.3390%2Fw6061698&partnerID=40&md5=abbaaba7d662bac1e3c48a204e501d2d,"The proliferation of food, feed and biofuels demands promises to increase pressure on water competition and stress, particularly for Thailand, which has a large agricultural base. This study assesses the water footprint of ten staple crops grown in different regions across the country and evaluates the impact of crop water use in different regions/watersheds by the water stress index and the indication of water deprivation potential. The ten crops include major rice, second rice, maize, soybean, mungbean, peanut, cassava, sugarcane, pineapple and oil palm. The water stress index of the 25 major watersheds in Thailand has been evaluated. The results show that there are high variations of crop water requirements grown in different regions due to many factors. However, based on the current cropping systems, the Northeastern region has the highest water requirement for both green water (or rain water) and blue water (or irrigation water). Rice (paddy) farming requires the highest amount of irrigation water, i.e., around 10,489 million m3/year followed by the maize, sugarcane, oil palm and cassava. Major rice cultivation induces the highest water deprivation, i.e., 1862 million m3H2Oeq/year; followed by sugarcane, second rice and cassava. The watersheds that have high risk on water competition due to increase in production of the ten crops considered are the Mun, Chi and Chao Phraya watersheds. The main contribution is from the second rice cultivation. Recommendations have been proposed for sustainable crops production in the future. © 2014 by the authors; licensee MDPI, Basel, Switzerland.",2014,1698-1718,6,6,,
2016,"Valencia, German Ayala; Djabourov, Madeleine; Do Amaral Sobral, Paulo Jose; Ayala Valencia, G; Djabourov, Madeleine; Do Amaral Sobral, Paulo Jose",Water desorption of cassava starch granules: A study based on thermogravimetric analysis of aqueous suspensions and humid powders,Carbohydrate Polymers,10.1016/j.carbpol.2016.04.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964461210&doi=10.1016%2Fj.carbpol.2016.04.030&partnerID=40&md5=4ea194dfb0857c5c2c6a304a74e5bb49,This work reports on water desorption from cassava starch in relation with the structure and conditioning of granules in suspensions or after equilibration in desiccators. The experimental work is performed by thermogravimetric analysis with isothermal and non-isothermal protocols and interpreted to derive the activation energies and desorption frequencies according to the humidity range with no adjustable parameter. The analysis points out the different types of water interacting with the starch granules and relates the drying coefficients to their microscopic structure. The work helps clarifying contradictory and partial results from the literature. (C) 2016 Elsevier Ltd. All rights reserved.,2016,533-541,,147,,
2013,"Lee, Jinwook; Mudge, Kenneth W","Water deficit affects plant and soil water status, plant growth, and ginsenoside contents in American ginseng",Horticulture Environment and Biotechnology,10.1007/s13580-013-0090-2,,"American ginseng (Panax quinquefolius L.) produces pharmacologically active secondary compounds known as ginsenosides which have been shown to be influenced by both genetic and environmental factors. In a greenhouse experiment, effects of water deficit on ginseng plant growth, predawn leaf water potential (I-Leaf), soil water potential (I-Soil), leaf abscisic acid (ABA) concentration, and root ginsenoside contents as well as photosynthesis-related physiological responses were studied. Three-year-old seedlings, grown in 200 mL volume of plastic pots, were well watered for 45 days prior to the initiation of water deficit treatments. Plants in the water deficit treatments were irrigated every 10 or 20 days for the mild and severe water deficit treatments, respectively, while the control plants were watered every 4 days. The experiment was terminated after 15, 6, and 3 dry down cycles (60 days) for the control, mild, and severe water deficit treatments, respectively. As water deficit progressed, both I-Soil and I-Leaf decreased, but foliar ABA concentration increased. Other physiological responses to water deficit, including transpiration rate, stomatal conductance, and CO2 assimilation rate, were decreased. Water deficit decreased root growth, but unaffected shoot growth. Foliar chlorophyll content was also decreased in the water deficit treatments. The contents of individual ginsenosides Re, Rb1, Rc and Rd, and total ginsenosides were increased in the storage roots of water deficit-treated plants as compared with well-watered controls. Rootlet fresh weight before transplanting (RFWBT) as a covariate had a significant effect on the contents of ginsenoside Rb1, Rc, and Rb2. Overall, the results indicate that water deficit could contribute not only to reducing plant performance but also increasing the levels of ABA and certain ginsenoisdes.",2013,475-483,6,54,,
1989,"Yao, N R; Goue, B; Zeller, B",Water consumption and efficiency of a cassava crop in southern Cote-d'Ivoire,Agronomie Tropicale,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024894137&partnerID=40&md5=63391b84a3f4a7e286113cd2ea94b3b3,"Results from a 3 year old cassava crop show a linear relationship between ETR values measured by fluctuation in soil moisture content and by the Bowen ratio method. On the other hand, available soil moisture has an effect on the leaf development rate and senescence, leaf size, and dry matter production. Lastly water use efficiency (EH) follows the fluctuations in the available moisture capacity of the soil which is about 1g/kg water during the dry period but can reach 8g/kg water under favorable water conditions and with an optimal leaf area index. -from English summary",1989,27-34,1,44,,
2010,"Chen, C.-H.; Kuo, W.-S.; Lai, L.-S.",Water barrier and physical properties of starch/decolorized hsian-tsao leaf gum films: Impact of surfactant lamination,Food Hydrocolloids,10.1016/j.foodhyd.2009.09.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450237814&doi=10.1016%2Fj.foodhyd.2009.09.006&partnerID=40&md5=8f2d38b70b4ee5e9fa5e4efaddda32c7,"The moisture barrier and physical properties of bilayer films prepared by lamination of starch/decolorized hsian-tsao leaf gum (dHG) and surfactant layers were investigated. It was found that the water vapor permeability (WVP) of tapioca starch/dHG film (1.31 × 10-10 g/m s Pa) pronouncedly decreased by the aid of a surfactant layer lamination (1.36-5.25 × 10-12 g/m s Pa). The WVP of bilayer film increased with increasing the concentration of starch/dHG in the surfactant layer, but was not significantly influenced when it was thickened. The sorption isotherms of both monolayer and bilayer films made from starch/dHG showed typical behavior of water-vapor-sensitive hydrophilic biopolymers. However, the equilibrium moisture content of the monolayer film was significantly higher than that of bilayer films when water activity (aw) reaches 0.33. Both the tensile and puncture force of starch/dHG films did not vary significantly by laminating a surfactant layer, indicating the mechanical strength of surfactant layer is relatively weak, and this surfactant layer mainly served as a barrier for moisture. When compared to emulsion-based starch/dHG films with surfactant, the surfactant laminated starch/dHG films showed higher water barrier property, mechanical strength, and transparency. © 2009 Elsevier Ltd. All rights reserved.",2010,200-207,02-Mar,24,,
1988,"Oriol, E; Raimbault, M; Roussos, S; Viniegra-Gonzales, G",Water and water activity in the solid state fermentation of cassava starch by Aspergillus niger,Applied Microbiology and Biotechnology,10.1007/BF00451620,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001212146&doi=10.1007%2FBF00451620&partnerID=40&md5=8ab43b9d45144f355637d27f6107386f,"During the solid state fermentation (SSF) of cassava starch by Aspergillus niger estimations were made of total water, consumed water and the residual water remaining in small quantities after 23 h. A theoretical calculation based on the Ross equation showed that the water activity (aw) of the substrate decreased to 0.85 towards the end of the culture. Such low values were assumed to be inhibitory to growth. The aw of the substrate was increased when sugarcane bagasse was used as a high water retention capacity support. Higher growth rates and substrate conversion to biomass were obtained with this system, confirming that water availability is a critical factor in the SSF of starch substrates. © 1988 Springer-Verlag.",1988,498-503,05-Jun,27,,
2017,"K.S.; Ezui; A.C.; Franke; P.A.; Leffelaar; A.; Mando; J.; Heerwaarden, van; J.; Sanabria; J.; Sogbedji; K.E.; Giller; Ezui, K S; Franke, A C; Leffelaar, P A; Mando, A; van Heerwaarden, J; Sanabria, J; Sogbedji, J; Giller, K E",Water and radiation use efficiencies explain the effect of potassium on the productivity of cassava,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997820932&doi=10.1016%2Fj.eja.2016.11.005&partnerID=40&md5=09752433f142609ed19ead8404704ced,"We studied the effects of potassium (K) and its interactions with nitrogen (N), phosphorus (P) and harvest time on the productivity, water use efficiency (WUE) and radiation use efficiency (RUE) of cassava under rain-fed conditions. A field experiment was conducted during two consecutive years on K-deficient soils in Djakakope and on relatively K-rich soils in Sevekpota in Southern Togo, West Africa. Fifteen fertiliser combinations involving K and N rates of 0, 50 and 100kghaâ  1 each, and P rates of 0, 20 and 40kgha1 were tested. Monthly measurements of leaf area index from 3 to 11 months after planting and daily weather data were used to estimate light interception, RUE, potential water transpiration and WUE of cassava. Overall WUE was 3.22g dry matter kgâ  1 water transpired and RUE was 1.16g dry matter MJâ  1 intercepted photosynthetic active radiation (PAR). On the K-deficient soils, application of K increased WUE and RUE by 36â  41% compared with 2.81g dry matter kgâ  1 water transpired and 0.92g dry matter MJâ  1 intercepted PAR achieved without K, respectively. However, the effect of K on cassava growth depended on N availability. Applications of N had relatively weak effects on RUE and WUE, but induced a positive correlation between RUE/WUE and K mass fractions in the plant, and increased the cumulative amount of light intercepted by 11â  51%, and the cumulative amount of water transpired through increased leaf area by 13â  61%. No significant effect of P on WUE and RUE was observed. Increased cassava yields could be achieved under rain-fed conditions in West Africa through enhanced K management to increase RUE and WUE, along with sufficient N supply for improved light interception and water transpiration by the crop.",2017,28,,v. 83 (113,,
2016,"Polachini, T C; Betiol, L F L; Lopes-Filho, J F; Telis-Romero, J",Water adsorption isotherms and thermodynamic properties of cassava bagasse,Thermochimica Acta,10.1016/j.tca.2016.03.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962033724&doi=10.1016%2Fj.tca.2016.03.032&partnerID=40&md5=014856ebb57b192ec5a59191f7b73f9d,"Losses of food industry are generally wet products that must be dried to posterior use and storage. In order to optimize drying processes, the study of isotherms and thermodynamic properties become essential to understand the water sorption mechanisms of cassava bagasse. For this, cassava bagasse was chemically analyzed and had its adsorption isotherms determined in the range of 293.15-353.15 K through the static gravimetric method. The models of GAB, Halsey, Henderson, Oswin and Peleg were fitted, and best adjustments were found for GAB model with R2 > 0.998 and no pattern distribution of residual plots. Isosteric heat of adsorption and thermodynamic parameters could be determined as a function of moisture content. Compensation theory was confirmed, with linear relationship between enthalpy and entropy and higher values of isokinetic temperature (TB = 395.62 K) than harmonic temperature. Water adsorption was considered driven by enthalpy, clarifying the mechanisms of water vapor sorption in cassava bagasse. © 2016 Elsevier B.V. All rights reserved.",2016,79-85,,632,,
2014,"Witono, J R; Noordergraaf, I W; Heeres, H J; Janssen, L.P.B.M.","Water absorption, retention and the swelling characteristics of cassava starch grafted with polyacrylic acid",Carbohydrate Polymers,10.1016/j.carbpol.2013.12.056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891857319&doi=10.1016%2Fj.carbpol.2013.12.056&partnerID=40&md5=0b28829502daab9245b60542505a87b5,"An important application of starch grafted with copolymers from unsaturated organic acids is the use as water absorbent. Although much research has been published in recent years, the kinetics of water absorption and the swelling behavior of starch based superabsorbents are relatively unexplored. Also, water retention under mechanical strain is usually not reported. Cassava starch was used since it has considerable economic potential in Asia. The gelatinized starch was grafted with acrylic acid and Fenton's initiator and crosslinked with N,N′-methylenebisacrylamide (MBAM). Besides a good initial absorption capacity, the product could retain up to 63 g H2O/g under severe suction. The material thus combines a good absorption capacity with sufficient gel strength. The mathematical analysis of the absorption kinetics shows that at conditions of practical interest, the rate of water penetration into the gel is determined by polymer chain relaxations and not by osmotic driven diffusion. © 2013 Elsevier Ltd.",2014,325-332,1,103,,
2015,"Rauf, Rusdin; Sarbini, Dwi",Water Absorption as Reference to Determine the Volume of Water in Dough Making from Wheat Flour and Cassava Flour Mixtures,Agritech-Jurnal Teknologi Pertanian,,,"Cassava flour substitution in the dough preparation often result in dough that is not properly hydrated. The purpose of the research was to determine the proper water volume in making dough from wheat flour and cassava flour mixtures. The research was conducted by analyzing amylograph characteristic and water absorption capacity of wheat flour and cassava flour mixtures. The water absorption was used as a reference to determine the volume of water in the dough preparation of mixed flours. Then, the elongation properties of the doughs were measured. Amylograph data indicated that wheat flour displayed a higher temperatur stability than cassava flour. The more portion of cassava flour, the lower its thermal stability. The water absortion of cassava flour was higher than wheat flour. The increasing of water absorbtion, in line with the increasing of cassava flour portion, which gave a linear trend, R-2 = 0.972. Based on the technique of proportional to water absorption in determine the water volume, the biggest tensile strength of dough was revealed by wheat flour: cassava flour 100:0 and 90:10. However, the highest strain displayed by dough of wheat flour: cassava flour 100:0.",2015,324-330,3,35,,
2011,"Kouadio, Olivier Kouadio; Nindjin, Charlemagne; Bonfoh, Bassirou; N'dri, Denis; Amani, Georges N'guessan",Water absorption as an evaluation method of cooking quality for yam (Dioscorea alata) and cassava (Manihot esculenta crantz),11th International Congress on Engineering and Food (icef11),,,"Water absorption as a new method of cooking quality (hard cooking or mealy cooking) of yam and cassava cultivars determination was studied by cooking eight (08) cultivars. 30 g of each were boiled in 500 ml of water during 20 minutes and dried at 70 C for 15 hours and 103 C for 3 hours in a vacuum oven. Results showed that cassava and yam have different cooking quality. Dry matter content does not influence the cooking quality of yam and cassava. Mealy cooking quality of yam absorbs less water (6.6%) during cooking but looses more soluble dry matter (9.5%) during the same process. Hard cooking quality of yam absorbs much water (23.5%), but looses less soluble dry matter (3.9%). The soluble dry matter is the main parameter to determine the quality of D. alata. It stands at 9.5% +/- 2.9 for mealy cooking quality and 3.9 +/- 0.73 for hard cooking quality cultivars of D. alata. Water absorbed by mealy cooking cassava (27.6%) is significantly (p < 0.05) higher compared to water absorbed of hard cooking cassava (12.4%). Water absorbed during cooking is the main parameter in determining the quality of cassava cultivars. Water absorbed stands at 27.6% +/- 8.8 for mealy cooked quality and 12.4% +/- 1.9, for hard cooked quality of cassava cultivars. A close relation between water absorption and cooking quality was revealed to contribute to a better selection procedure for cultivars in the frame of food security. (C) 2011 Published by Elsevier B.V. Selection and/or peer-review under responsibility of 11th International Congress on Engineering and Food (ICEF 11) Executive Committee.",2011,153-159,,1,,
2017,"Judawisastra, H; Sitohang, R D R; Marta, L; Mardiyati",Water absorption and its effect on the tensile properties of tapioca starch/polyvinyl alcohol bioplastics,Innovation in Polymer Science and Technology 2016 (ipst 2016),,,"Tapioca is one of the largest sources of starch and makes it suitable to be used for bioplastic material. Addition of polyvinyl alcohol (PVA) has been shown to successfully reduce the brittleness of starch bioplastic. This study aims to investigate the influence of PVA addition to water absorption behavior and its effect on the tensile properties of tapioca starch/PVA bioplastics, which are still not yet fully understood until now. The bioplastics were prepared by solution casting method at gelatinization temperature, with PVA addition from 0 to 29 wt%. Examinations were carried out by means of water absorption test, tensile test and Fourier Transform Infrared (FTIR) Spectroscopy. Increasing content of PVA, up to 29 wt%, was found to decrease the water absorption of the bioplastics, with the lowest water saturation point of 251%. This is due to the interaction between starch and PVA which reduces the free OH groups in the resulting bioplastics. Consequently, this led to a decrease in water absorption-related deterioration, i.e. tensile properties degradation of the bioplastics. The addition of 29 wt% resulted into the lowest degradation in tensile strength (6%) and stiffness (30%), while accompanied with the highest elongation increase (39%) after water immersion.",2017,UNSP-012066,,223,,
